Data Name,Resource Type,Data Type,Source,Period of Record (published or applicable),Spatial Coverage,Spatial Scale or Resolution,Temporal Scale or Resolution,Methodology Used,Units,Stated Accuracy,Availability/ Distribution,Link,Update Frequency,Abstract/Comments/Notes
Hawaii Hydropower Report,Hydropower,Report,Idaho National Laboratory,"September, 1996",Hawaii,Point locations,Annual,Model,Nameplate Capacity (MW),,Public,http://hydropower.inl.gov/resourceassessment/states.shtml,Unknown,Undeveloped hydropower potential using the Hydropower Evaluation Software model.
Idaho Hydropower Report,Hydropower,Report,Idaho National Laboratory,"August, 1998",Idaho,Point locations,Annual,Model,Nameplate Capacity (MW),,Public,http://hydropower.inl.gov/resourceassessment/states.shtml,Unknown,Undeveloped hydropower potential using the Hydropower Evaluation Software model.
Illinois Hydropower Report,Hydropower,Report,Idaho National Laboratory,"January, 1997",Illinois,Point locations,Annual,Model,Nameplate Capacity (MW),,Public,http://hydropower.inl.gov/resourceassessment/states.shtml,Unknown,Undeveloped hydropower potential using the Hydropower Evaluation Software model.
Indiana Hydropower Report,Hydropower,Report,Idaho National Laboratory,"December, 1995",Indiana,Point locations,Annual,Model,Nameplate Capacity (MW),,Public,http://hydropower.inl.gov/resourceassessment/states.shtml,Unknown,Undeveloped hydropower potential using the Hydropower Evaluation Software model.
Iowa Hydropower Report,Hydropower,Report,Idaho National Laboratory,"December, 1995",Iowa,Point locations,Annual,Model,Nameplate Capacity (MW),,Public,http://hydropower.inl.gov/resourceassessment/states.shtml,Unknown,Undeveloped hydropower potential using the Hydropower Evaluation Software model.
Kansas Hydropower Report,Hydropower,Report,Idaho National Laboratory,"December, 1993",Kansas,Point locations,Annual,Model,Nameplate Capacity (MW),,Public,http://hydropower.inl.gov/resourceassessment/states.shtml,Unknown,Undeveloped hydropower potential using the Hydropower Evaluation Software model.
Kentucky Hydropower Report,Hydropower,Report,Idaho National Laboratory,"July, 1998",Kentucky,Point locations,Annual,Model,Nameplate Capacity (MW),,Public,http://hydropower.inl.gov/resourceassessment/states.shtml,Unknown,Undeveloped hydropower potential using the Hydropower Evaluation Software model.
Louisiana Hydropower Report,Hydropower,Report,Idaho National Laboratory,"December, 1993",Louisiana,Point locations,Annual,Model,Nameplate Capacity (MW),,Public,http://hydropower.inl.gov/resourceassessment/states.shtml,Unknown,Undeveloped hydropower potential using the Hydropower Evaluation Software model.
Maine Hydropower Report,Hydropower,Report,Idaho National Laboratory,"July, 1995",Maine,Point locations,Annual,Model,Nameplate Capacity (MW),,Public,http://hydropower.inl.gov/resourceassessment/states.shtml,Unknown,Undeveloped hydropower potential using the Hydropower Evaluation Software model.
Maryland Hydropower Report,Hydropower,Report,Idaho National Laboratory,"November, 1997",Maryland,Point locations,Annual,Model,Nameplate Capacity (MW),,Public,http://hydropower.inl.gov/resourceassessment/states.shtml,Unknown,Undeveloped hydropower potential using the Hydropower Evaluation Software model.
Massachusetts Hydropower Report,Hydropower,Report,Idaho National Laboratory,"July, 1995",Massachusetts,Point locations,Annual,Model,Nameplate Capacity (MW),,Public,http://hydropower.inl.gov/resourceassessment/states.shtml,Unknown,Undeveloped hydropower potential using the Hydropower Evaluation Software model.
Michigan Hydropower Report,Hydropower,Report,Idaho National Laboratory,"February, 1998",Michigan,Point locations,Annual,Model,Nameplate Capacity (MW),,Public,http://hydropower.inl.gov/resourceassessment/states.shtml,Unknown,Undeveloped hydropower potential using the Hydropower Evaluation Software model.
Minnesota Hydropower Report,Hydropower,Report,Idaho National Laboratory,"July, 1996",Minnesota,Point locations,Annual,Model,Nameplate Capacity (MW),,Public,http://hydropower.inl.gov/resourceassessment/states.shtml,Unknown,Undeveloped hydropower potential using the Hydropower Evaluation Software model.
Mississippi Hydropower Report,Hydropower,Report,Idaho National Laboratory,"November, 1997",Mississippi,Point locations,Annual,Model,Nameplate Capacity (MW),,Public,http://hydropower.inl.gov/resourceassessment/states.shtml,Unknown,Undeveloped hydropower potential using the Hydropower Evaluation Software model.
Missouri Hydropower Report,Hydropower,Report,Idaho National Laboratory,"December, 1993",Missouri,Point locations,Annual,Model,Nameplate Capacity (MW),,Public,http://hydropower.inl.gov/resourceassessment/states.shtml,Unknown,Undeveloped hydropower potential using the Hydropower Evaluation Software model.
Montana Hydropower Report,Hydropower,Report,Idaho National Laboratory,"December, 1993",Montana,Point locations,Annual,Model,Nameplate Capacity (MW),,Public,http://hydropower.inl.gov/resourceassessment/states.shtml,Unknown,Undeveloped hydropower potential using the Hydropower Evaluation Software model.
Nebraska Hydropower Report,Hydropower,Report,Idaho National Laboratory,"April, 1997",Nebraska,Point locations,Annual,Model,Nameplate Capacity (MW),,Public,http://hydropower.inl.gov/resourceassessment/states.shtml,Unknown,Undeveloped hydropower potential using the Hydropower Evaluation Software model.
Nevada Hydropower Report,Hydropower,Report,Idaho National Laboratory,"October, 1997",Nevada,Point locations,Annual,Model,Nameplate Capacity (MW),,Public,http://hydropower.inl.gov/resourceassessment/states.shtml,Unknown,Undeveloped hydropower potential using the Hydropower Evaluation Software model.
New Hampshire Hydropower Report,Hydropower,Report,Idaho National Laboratory,"July, 1995",New Hampshire,Point locations,Annual,Model,Nameplate Capacity (MW),,Public,http://hydropower.inl.gov/resourceassessment/states.shtml,Unknown,Undeveloped hydropower potential using the Hydropower Evaluation Software model.
New Jersey Hydropower Report,Hydropower,Report,Idaho National Laboratory,"March, 1996",New Jersey,Point locations,Annual,Model,Nameplate Capacity (MW),,Public,http://hydropower.inl.gov/resourceassessment/states.shtml,Unknown,Undeveloped hydropower potential using the Hydropower Evaluation Software model.
New Mexico Hydropower Report,Hydropower,Report,Idaho National Laboratory,"March, 1997",New Mexico,Point locations,Annual,Model,Nameplate Capacity (MW),,Public,http://hydropower.inl.gov/resourceassessment/states.shtml,Unknown,Undeveloped hydropower potential using the Hydropower Evaluation Software model.
New York Hydropower Report,Hydropower,Report,Idaho National Laboratory,"August, 1998",New York,Point locations,Annual,Model,Nameplate Capacity (MW),,Public,http://hydropower.inl.gov/resourceassessment/states.shtml,Unknown,Undeveloped hydropower potential using the Hydropower Evaluation Software model.
North Carolina Hydropower Report,Hydropower,Report,Idaho National Laboratory,"October, 1997",North Carolina,Point locations,Annual,Model,Nameplate Capacity (MW),,Public,http://hydropower.inl.gov/resourceassessment/states.shtml,Unknown,Undeveloped hydropower potential using the Hydropower Evaluation Software model.
North Dakota Hydropower Report,Hydropower,Report,Idaho National Laboratory,"December, 1993",North Dakota,Point locations,Annual,Model,Nameplate Capacity (MW),,Public,http://hydropower.inl.gov/resourceassessment/states.shtml,Unknown,Undeveloped hydropower potential using the Hydropower Evaluation Software model.
Ohio Hydropower Report,Hydropower,Report,Idaho National Laboratory,"December, 1997",Ohio,Point locations,Annual,Model,Nameplate Capacity (MW),,Public,http://hydropower.inl.gov/resourceassessment/states.shtml,Unknown,Undeveloped hydropower potential using the Hydropower Evaluation Software model.
Oklahoma Hydropower Report,Hydropower,Report,Idaho National Laboratory,"December, 1993",Oklahoma,Point locations,Annual,Model,Nameplate Capacity (MW),,Public,http://hydropower.inl.gov/resourceassessment/states.shtml,Unknown,Undeveloped hydropower potential using the Hydropower Evaluation Software model.
Oregon Hydropower Report,Hydropower,Report,Idaho National Laboratory,"March, 1998",Oregon,Point locations,Annual,Model,Nameplate Capacity (MW),,Public,http://hydropower.inl.gov/resourceassessment/states.shtml,Unknown,Undeveloped hydropower potential using the Hydropower Evaluation Software model.
Pennsylvania Hydropower Report,Hydropower,Report,Idaho National Laboratory,"December, 1997",Pennsylvania,Point locations,Annual,Model,Nameplate Capacity (MW),,Public,http://hydropower.inl.gov/resourceassessment/states.shtml,Unknown,Undeveloped hydropower potential using the Hydropower Evaluation Software model.
Rhode Island Hydropower Report,Hydropower,Report,Idaho National Laboratory,"July, 1995",Rhode Island,Point locations,Annual,Model,Nameplate Capacity (MW),,Public,http://hydropower.inl.gov/resourceassessment/states.shtml,Unknown,Undeveloped hydropower potential using the Hydropower Evaluation Software model.
South Carolina Hydropower Report,Hydropower,Report,Idaho National Laboratory,"June, 1997",South Carolina,Point locations,Annual,Model,Nameplate Capacity (MW),,Public,http://hydropower.inl.gov/resourceassessment/states.shtml,Unknown,Undeveloped hydropower potential using the Hydropower Evaluation Software model.
South Dakota Hydropower Report,Hydropower,Report,Idaho National Laboratory,"December, 1993",South Dakota,Point locations,Annual,Model,Nameplate Capacity (MW),,Public,http://hydropower.inl.gov/resourceassessment/states.shtml,Unknown,Undeveloped hydropower potential using the Hydropower Evaluation Software model.
Tennessee Hydropower Report,Hydropower,Report,Idaho National Laboratory,"July, 1997",Tennessee,Point locations,Annual,Model,Nameplate Capacity (MW),,Public,http://hydropower.inl.gov/resourceassessment/states.shtml,Unknown,Undeveloped hydropower potential using the Hydropower Evaluation Software model.
Texas Hydropower Report,Hydropower,Report,Idaho National Laboratory,"December, 1993",Texas,Point locations,Annual,Model,Nameplate Capacity (MW),,Public,http://hydropower.inl.gov/resourceassessment/states.shtml,Unknown,Undeveloped hydropower potential using the Hydropower Evaluation Software model.
Utah Hydropower Report,Hydropower,Report,Idaho National Laboratory,"December, 1993",Utah,Point locations,Annual,Model,Nameplate Capacity (MW),,Public,http://hydropower.inl.gov/resourceassessment/states.shtml,Unknown,Undeveloped hydropower potential using the Hydropower Evaluation Software model.
Vermont Hydropower Report,Hydropower,Report,Idaho National Laboratory,"February, 1996",Vermont,Point locations,Annual,Model,Nameplate Capacity (MW),,Public,http://hydropower.inl.gov/resourceassessment/states.shtml,Unknown,Undeveloped hydropower potential using the Hydropower Evaluation Software model.
Virginia Hydropower Report,Hydropower,Report,Idaho National Laboratory,"December, 1997",Virginia,Point locations,Annual,Model,Nameplate Capacity (MW),,Public,http://hydropower.inl.gov/resourceassessment/states.shtml,Unknown,Undeveloped hydropower potential using the Hydropower Evaluation Software model.
Washington Hydropower Report,Hydropower,Report,Idaho National Laboratory,"August, 1997",Washington,Point locations,Annual,Model,Nameplate Capacity (MW),,Public,http://hydropower.inl.gov/resourceassessment/states.shtml,Unknown,Undeveloped hydropower potential using the Hydropower Evaluation Software model.
West Virginia Hydropower Report,Hydropower,Report,Idaho National Laboratory,"February, 1998",West Virginia,Point locations,Annual,Model,Nameplate Capacity (MW),,Public,http://hydropower.inl.gov/resourceassessment/states.shtml,Unknown,Undeveloped hydropower potential using the Hydropower Evaluation Software model.
Wisconsin Hydropower Report,Hydropower,Report,Idaho National Laboratory,"May, 1996",Wisconsin,Point locations,Annual,Model,Nameplate Capacity (MW),,Public,http://hydropower.inl.gov/resourceassessment/states.shtml,Unknown,Undeveloped hydropower potential using the Hydropower Evaluation Software model.
Wyoming Hydropower Report,Hydropower,Report,Idaho National Laboratory,"December, 1993",Wyoming,Point locations,Annual,Model,Nameplate Capacity (MW),,Public,http://hydropower.inl.gov/resourceassessment/states.shtml,Unknown,Undeveloped hydropower potential using the Hydropower Evaluation Software model.
World Ocean Circulation Experiment,Ocean,Maps & Tabular,National Oceanic and Atmospheric Administration Archive,"1990-1998, with some observations before and after",Global,Point locations,Hourly,Measured and remote sensing,"Current speed (cm/sec), direction and temperature; sea surface height; sea surface temperature",Unknown,Public,http://woce.nodc.noaa.gov/wdiu,Unknown,Multiple measured and remote sensing datasets collected here with relevance for ocean energy resource assessment activities
Ocean Current Energy Potential on the U.S. Outer Continental Shelf,Ocean Current,Report & Map,Minerals Management Service,"May, 2006",National,,,,"Ocean current relative temperature, flow, and direction",Unknown,Public,http://ocsenergy.anl.gov/documents/docs/OCS_EIS_WhitePaper_Current.pdf,,
OTEC Resource Maps,Ocean Thermal,Maps,"George Hagerman, Virginia Tech",1980's,Global,,,Empirical estimate,Temperature differential between surface and deep water (deg. C),Unknown,Public,"Personal communication, George Hagerman",Unknown,
Sea Surface Temperature,Ocean Thermal,Maps & GIS,National Aeronautics and Space Administration,Ongoing,Global,9 - 54 km,Daily,Measurements,,,Public,http://www.nodc.noaa.gov/sog/,Near real-time data planned,"Version 4.1 data are available through June of 2003 at daily, 8-day and monthly averages and 9km, 18km, and 54km resolutions. Data gaps occur primarily due to cloud cover because of the inability of the infrared sensor to detect ocean temperatures in these conditions. Quality flag information is available that allows the user to apply various levels of cloud masking. Current plans include extending this data at a near-real rate. Error estimates for this dataset range from 0.3 degrees Celsius to 0.5 degrees Celsius."
Maine Tidal In-Stream Energy Conversion (TISEC): Survey and Characterization of Potential Project Sites,Ocean Tidal,Report & Tabular,Electric Power Research Institute,2006,Maine,Specific sites,Annual and Peak,Survey of available tidal information and calculation,Project Rated Capacity (MW) and other site characteristics,Not stated,Public,http://oceanenergy.epri.com/attachments/streamenergy/reports/Tidal_003_ME_Site_Survey_Report_REV_1.pdf,Unknown,Energy resource potential for selected sites in Maine.
Massachusetts Tidal In-Stream Energy Conversion (TISEC): Survey and Characterization of Potential Project Sites,Ocean Tidal,Report & Tabular,Electric Power Research Institute,2006,Massachusetts,Specific sites,Annual and Peak,Survey of available tidal information and calculation,Project Rated Capacity (MW) and other site characteristics,Not stated,Public,http://oceanenergy.epri.com/attachments/streamenergy/reports/Tidal_003_MA_Site_Survey_Report_REV_1.pdf,Unknown,Energy resource potential for selected sites in Massachusetts.
"System Level Design, Performance, Cost and Economic Assessment - Knik Arm Alaska Tidal In-Stream Power Plant",Ocean Tidal,Report & Tabular,Electric Power Research Institute,2006,"Knik Arm, Alaska",Specific site,Annual and Peak,Survey of available tidal information and calculation,Extractable Power (MW) and other site characteristics,Not stated,Public,http://oceanenergy.epri.com/attachments/streamenergy/reports/006-AK_06-10-06.pdf,Unknown,Energy resource potential for Knik Arm site.
"System Level Design, Performance, Cost and Economic Assessment - San Francisco Tidal In-Stream Power Plant",Ocean Tidal,Report & Tabular,Electric Power Research Institute,2006,"San Francisco, California",Specific sites,Annual and Peak,Survey of available tidal information and calculation,Extractable Power (MW) and other site characteristics,Not stated,Public,http://oceanenergy.epri.com/attachments/streamenergy/reports/006_CA_06-10_-06.pdf,Unknown,Energy resource potential for San Francisco site.
"System Level Design, Performance, Cost and Economic Assessment - Tacoma Narrows Washington Tidal In-Stream Power Plant",Ocean Tidal,Report & Tabular,Electric Power Research Institute,2006,"Tacoma Narrows, Washington",Specific site,Annual and Peak,Survey of available tidal information and calculation,Extractable Power (MW) and other site characteristics,Not stated,Public,http://oceanenergy.epri.com/attachments/streamenergy/reports/TP-006-WA_Design_Feasibility_Report_010106.pdf,Unknown,Energy resource potential for Tacoma Narrows site.
"System Level Design, Performance, Cost and Economic Assessment - Maine Western Passage Tidal In-Stream Power Plant",Ocean Tidal,Report & Tabular,Electric Power Research Institute,2006,"Lubec Narrows, Maine",Specific site,Annual and Peak,Survey of available tidal information and calculation,Extractable Power (MW) and other site characteristics,Not stated,Public,http://oceanenergy.epri.com/attachments/streamenergy/reports/006_ME_RB_06-10-06.pdf,Unknown,Energy resource potential for western Maine Lubec Narrows site.
"System Level Design, Performance, Cost and Economic Assessment - Massachusetts Muskeget Channel Tidal In-Stream Power Plant",Ocean Tidal,Report & Tabular,Electric Power Research Institute,2006,"Muskeget Channel, Massachusetts",Specific site,Annual and Peak,Survey of available tidal information and calculation,Extractable Power (MW) and other site characteristics,Not stated,Public,http://oceanenergy.epri.com/attachments/streamenergy/reports/006_MA_RB_06-10-06.pdf,Unknown,Energy resource potential for western Massachusetts Muskeget Channel site.
Tidal In-Stream Energy Resource Assessment for Southeast Alaska,Ocean Tidal,Report & Tabular,Electric Power Research Institute,2006,Southeast Alaska,Specific sites,Annual and Peak,Survey of available tidal information and calculation,Extractable Power (MW) and other site characteristics,Not stated,Public,http://oceanenergy.epri.com/attachments/streamenergy/reports/003_TP_AK_011007.pdf,Unknown,Energy resource potential for six sites in Southeast Alaska
Final Summary Report: 2004 Offshore Wave Power Project,Ocean Wave,Report & Maps,Electric Power Research Institute,"Jan, 2005",National,Regional,Annual,Unknown,Potential generation (TWh/yr),Unknown,Public,,Unknown,Regional estimates of total ocean wave energy generation potential.
National Data Buoy Center,Ocean Wave,Tabular,National Oceanic and Atmospheric Administration,Ongoing,National,Point locations,Hourly,Measurements,Wave height (ft) and period (sec),,Public,http://www.ndbc.noaa.gov/,Ongoing,
E2I EPRI Survey and Characterization of Potential Offshore Wave Energy Sites in Hawaii,Ocean Wave,Reports & Maps,Electric Power Research Institute,2004,Hawaii,Specific county coastlines,Annual average,Models,Average wave power (kW/m),Not stated,Public,http://oceanenergy.epri.com/attachments/wave/reports/003_Hawaii_Site_Report_Rev_1.pdf,Unknown,Annual average wave energy potential for selected county coastlines in Hawaii.
E2I EPRI Survey and Characterization of Potential Offshore Wave Energy Sites in Maine,Ocean Wave,Reports & Maps,Electric Power Research Institute,2004,Maine,Specific county coastlines,Annual average,Models,Average wave power (kW/m),Not stated,Public,http://oceanenergy.epri.com/attachments/wave/reports/003_Maine_Site_Report_Rev_1.pdf,Unknown,Annual average wave energy potential for selected county coastlines in Maine.
E2I EPRI Survey and Characterization of Potential Offshore Wave Energy Sites in Oregon,Ocean Wave,Reports & Maps,Electric Power Research Institute,2004,Oregon,Specific county coastlines,Annual average,Models,Average wave power (kW/m),Not stated,Public,http://oceanenergy.epri.com/attachments/wave/reports/003_Oregon_Site_Report.pdf,Unknown,Annual average wave energy potential for selected county coastlines in Oregon.
E2I EPRI Survey and Characterization of Potential Offshore Wave Energy Sites in Washington,Ocean Wave,Reports & Maps,Electric Power Research Institute,2004,Washington,Specific county coastlines,Annual average,Models,Average wave power (kW/m),Not stated,Public,http://oceanenergy.epri.com/attachments/wave/reports/003_Washington_Site_Report.pdf,Unknown,Annual average wave energy potential for selected county coastlines in Washington.
Southern New England Wave Energy Resource Potential,Ocean Wave,Report & Maps,Virginia Technical University,"March, 2001",Atlantic Coast (Southern Maine to New York),Point locations,,Models,,,,,,
Wave Energy Resource and Economic Assessment for the State of Hawaii,Ocean Wave,Report,"George Hagerman, SEASUN Power Systems","June, 1992",Hawaii,4-36 km coastline lengths,Annual,Statistical analysis and modeling,Wave power (kW/m),Unknown,Public,http://www.hawaii.gov/dbedt/info/energy/renewable/wave,None Planned,
Climatology of Global Ocean Winds,Ocean Wave and Wind,Maps & Tabular,National Aeronautics and Space Administration and Oregon State University,2006,World Oceans,0.5å¡ latitude by 0.5å¡ longitude,3-day to 1 month,Satellite measurements,Wind Speed at 10 m from ocean surface,1.68 m/s,Public,http://cioss.coas.oregonstate.edu/scow/,None Planned,"High spatial resolution, observationally based, online atlas of ocean winds."
Wave Information Studies,Ocean Wave and Wind,Tabular,U.S. Army Corps of Engineers,Ongoing,National,Unknown,1 hr,Numerical model,Wave height (m) and period (sec),Unknown,Public,http://chl.erdc.usace.army.mil/wis,Ongoing,"Multi-year time series of bulk wave parameters, significant wave height, period, direction, and wind speed and direction."
WaveWatch III,Ocean Wave and Wind,Map & Tabular,National Oceanic and Atmospheric Administration,Ongoing,Global,Unknown,6 hr,Interpolation Model,Open ocean wave height (m) and period (sec),Unknown,Public,http://polar.ncep.noaa.gov/waves,Ongoing,"Site contains modeled data on height and period of ocean waves, and wind speed"
High Spatial  Resolution Solar Resource Data,Solar,Time-Series & GIS,State University of New York and National Renewable Energy Laboratory,1998-2005,Continental United States and Hawaii,10 km,Annual and Monthly,Satellite remote sensing model,kWh/m2/day,Unknown,Public,http://www.nrel.gov/gis/data_analysis.html,annually or as needed,"Annual and monthly average and hourly direct normal, global horizontal and diffuse irradiance using available GOES satellite data."
National Solar Radiation Data Base (NSRDB),Solar,Time-Series & GIS,National Renewable Energy Laboratory,1961-1990,National,239 point locations,Hourly,Measurements (3%) and models (97%),kWh/m2,Varies by site class (+/- 8% to +/- 20%),Public,"http://rredc.nrel.gov/solar/old_data/nsrdb/(solar only)http://ols.nndc.noaa.gov/plolstore/plsql/olstore.prodspecific?prodnum=C00066-CDR-S0001(meteorolgical & solar)",10 - 15 years,"Measured and modeled solar resource data for 239 point locations.  Model based on surface observations of cloud amounts.NSRDB (solar-only) data available from NRELSAMSON (meteorolgical & solar data) available from NCDC)"
National Solar Radiation Data Base Update 2007 (NSRDB Update),Solar,Time-Series & GIS,National Renewable Energy Laboratory,1991-2005,National,"1,454 point locations",Hourly,Measurements (1%) and models (99%),kWh/m2,Varies by site class (+/-8% to +/-25%),Public,http://rredc.nrel.gov/solar/old_data/nsrdb/1991-2005/,5 years,"Measured and modeled solar resource data for 1,454  point locations by classification based on completeness and accuracy of data."
Surface Meteorology and Solar Energy,Solar,Maps & GIS & Tabular,National Aeronautics and Space Administration,1983-2005,Global,1 deg longitude x 1 deg latitude,Annual and Monthly,Satellite and model,kWh/m2/day,"Varies by radiation type, (13% - 24%)",Public,http://eosweb.larc.nasa.gov/sse,None Planned,"Satellite data for horizontal solar insolation, monthly horizontal diffuse radiation, monthly solar beam direct normal, monthly tilted surface radiation"
U.S. Solar Resource Data (CSR Model),Solar,GIS,National Renewable Energy Laboratory,2003,National,~40 km,Monthly,Model,kWh/m2/day,+/- 10% (global);   +/- 15% (direct),Public,http://www.nrel.gov/gis/data_analysis.html,Other - as needed or funding available,"Modeled solar resource data for global horizontal, direct normal, and fixed flat plate with tilt = latitude collector configurations"
IDMP,Solar,Time-Series,Commission Internationale de l'Eclairage,1991-present,Global,48 point locations,1-minute,Measurements,W/m2,Varies with measured parameter,Public,http://idmp.entpe.fr/,Ongoing,"The  International Daylight Measurement Programme (IDMP) was set up in 1991 by the Commission Internationale de l'Eclairage (International Lighting Commission) based in Vienna, Austria."
USDA UV-B,Solar,Time-Series,Colorado State University,1992-present,National,76 point locations,1-minute,Measurements,W/m2,Varies with measured parameter and site (+/-5% to +/-15%),Public,http://uvb.nrel.colostate.edu/UVB/home_page.html,Ongoing,"The USDA UV-B Monitoring and Research Program is a program of the US Department of Agriculture's Cooperative State Research, Education and Extension Service (CSREES)."
FirstLookå¨,Solar,Report & GIS,3Tier,Jan 1997 - Mar 2009,Near Global (does not include Alaska),~3km,30 minute instantaneous and 1 hour averages,Numerical Model,W/m2,,Commercial,http://www.3tier.com,Ongoing,"Time series, climate variability analysis, site resource assessment"
AWS Truepower Solar Resource Assessment,Solar,Report & GIS,AWS Truepower,Current,Continental United States,Site,Hourly,Numerical Model,kWh,,Commercial,http://www.awstruepower.com/solutions/solar/resource-assessment,Ongoing,"Modeled solar generation on an annual, monthly or diurnal basis."
SolarAnywhereå¨,Solar,Report & GIS,Clean Power Research,1998 - present,Continental United States and Hawaii,10 km,1 hour,Satellite remote sensing model,W/m2,GHI RSME and MBE: 14% and 0.8%; DNI RSME and MBE: 29.8% and 0.9%,Commercial,http://www.cleanpower.com/SolarAnywhere,Ongoing,
SOLMET/ ERSATZ,Solar,Time Series,National Oceanic and Atmospheric Administration/ National Climatic Data Center,Dec 1951 - Dec 1976,United States and Territories,26 measured and 222 modeled point locations,1 hour,Measurements and Models,W/m2,GHI RSME: SOLMET +/-7.5%; ERSATZ +/-10%; DNI RSME: SOLMET +/-10%; ERSATZ +/-20%.,,http://www.ncdc.noaa.gov/,None,"Replaced by the National Solar Radiation Database, which has period of record starting in 1961."
SOLDAY,Solar,Time Series,National Oceanic and Atmospheric Administration/ National Climatic Data Center,Jan 1952 - Dec 1976,Continental United States,26 measurement stations,Daily,Measurements,W/m2,GHI +/- 10%,,http://www.ncdc.noaa.gov/,None,"Replaced by the National Solar Radiation Database, which has period of record starting in 1961."
TMY,Solar,Time Series,National Oceanic and Atmospheric Administration/ National Climatic Data Center,One year representative of data period 1952 - 1976,United States and Territories,26 measurement stations and 222 modeled stations,Hourly,Statistical Model,x100 MJ/h/m2,,Public,http://www.ncdc.noaa.gov/,None,"A TMY data set provides a single year of hourly data for solar radiation and other meteorological elements that permit performance comparisons of system types and configurations for one or more locations. A TMY is not necessarily a good indicator of conditions over the next year, or even the next 5 years. Rather, it represents conditions judged to be typical over a long period of time, such as 30 years. Because they represent typical rather than extreme conditions, they are not suited for designing systems and their components to meet the worst-case weather conditions that could occur at a location.  The first TMY dataset was based on extracts of the SOLMET/ERSATZ modeled estimates."
TMY2,Solar,Time Series,National Renewable Energy Laboratory,One year representative of data period 1961 - 1990,United States and Territories,239 stations representing the 1961 - 1990 NSRDB,Hourly,Statistical Model,W/m2,GHI: +/- 0.06 kWh/m2/day; DNI: +/- 0.16 kWh/m2/day; Lat = Tilt: +/- 0.09 kWh/m2/day,Public,http://rredc.nrel.gov/solar/old_data/nsrdb/1961-1990/tmy2,None,"A TMY data set provides a single year of hourly data for solar radiation and other meteorological elements that permit performance comparisons of system types and configurations for one or more locations. A TMY is not necessarily a good indicator of conditions over the next year, or even the next 5 years. Rather, it represents conditions judged to be typical over a long period of time, such as 30 years. Because they represent typical rather than extreme conditions, they are not suited for designing systems and their components to meet the worst-case weather conditions that could occur at a location.  The TMY2 dataset were based on the first National Solar Radiation Database, representing a period of record from 1961-1990."
TMY3,Solar,Time Series,National Renewable Energy Laboratory,One year representative of data period 1976 - 2005 or 1991 - 2005 depending on station,United States and Territories,"1,020 stations representing station in the 1961-1990 NSRDB and the newer 1991-2005 NSRDB",Hourly,Statistical Model,W/m2,0.01,Public,http://rredc.nrel.gov/solar/old_data/nsrdb/1991-2005/tmy3/,,
NOAA Network,Solar,Time Series,National Oceanic and Atmospheric Administration/ National Climatic Data Center,1977 - 1980,United States and Territories,39 National Weather Service measurement stations,Hourly,Measurement,W/m2,"DNI å±2%, GHI å±5%, and DHIå±15% + 5 W/m2",Public,http://www.ncdc.noaa.gov/,None,These data represent the most complete set of solar resource measurements from the largest federally-operated measurement network ever fielded in the United States.
Daily Surface Weather and Climatalogical Summaries (DAYMET),Solar,Time Series,University of Montana/ Numerical Terradynamic Simulation Group,1980 - 1997,Continental United States,1 km,Daily,Modeled,W/m2,,Public,http://www.daymet.org,,
Meteonorm,Solar,Time Series,Meteonorm,1981 - 2000,Global,"Interpolated from 8,055 meteorological stations to any point",1-minute and hourly,Modeled,W/m2,Interpolation of GHI ‰ÛÒ MBE = 0 W/m2; RSME = 15 W/m2; for yearly mean GHI ‰ÛÒ 17 W/m2 (10%),Public,http://www.meteonorm.com/pages/en/meteonorm.php,Periodic,
DLR ISIS,Solar,Time Series,German Aerospace Center (DLR)/ Institute of Atmospheric Physics,July 1983 - Dec 2004,Global,280 km,3-hourly,Modeled,W/m2,,Public,http://www.pa.op.dlr.de/ISIS,,
Solar Data Warehouse,Solar,Time Series,,Varies from 5 to 25 yrs ago to the present,Continental United States,3000+ measurement stations,Hourly and Daily,Measurements,W/m2,,Public,http://solardatawarehouse.com/,,"The Solar Data Warehouse accesses climate data from over 30 different measurement networks across the United States providing hourly and daily data from over 3,000 stations.  Measurements from these networks are converted to a uniform format and combined into a consistent dataset."
BSRN,Solar,Time Series,World Radiation Monitoring Center,1992 - present,Global,40 measurement stations,1-minute,Measurements,W/m2,15 W/m2 for broadband solar measure-ments and 110 W/m2 for thermal infrared measure-ments,Public,"http://www.bsrn.awi.de/en/home; http://www.bsrn.awi.de/en/home/wrmc",,
WGA CDEAC Solar Task Force Report,Solar,Report & Tabular,Western Governors' Association,"January, 2006","WA, OR, ID, MT, WY, CO, NM, AZ, UT, NV, CA, TX, ND, SD, NE, KS",State,"Annual, future",,MW of installed capacity,Unknown,Public,http://www.trec-uk.org.uk/resources/Solar_task_force_report.pdf,Unknown,Estimates of near term future (2015) installed capacity by state for WGA member states.  Includes supply curves of relative resource cost.
HBCU,Solar,Time-Series,National Renewable Energy Laboratory,1985-1996,"FL, GA, MS, NC, SC, WV",6 point locations,5-minute,Measurements,W/m2,Varies with measured parameter and site (+/-5% to +/-15%),Public,http://rredc.nrel.gov/solar/old_data/hbcu/,None Planned,"The DOE/NREL Historically Black Colleges and Universities (HBCU) Solar Measurement Network filled a geographic void in the southeastern U.S.  Due to the elimination of program funding, only two of these stations (NC & WV) continue operation as part of the CONFRRM network."
